Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
48,2026-04-20,Mon,Gold,,Foot Drills; Dynamics; Buildups,5mi easy,Strides; Mobility/Strength A,5.0,,
48,2026-04-20,Mon,Green,,Foot Drills; Dynamics; Buildups,4.5mi easy,Strides; Mobility/Strength A,4.5,,
48,2026-04-20,Mon,White,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
48,2026-04-20,Mon,Freshman,,Foot Drills; Dynamics; Buildups,3mi easy,Strides; Mobility/Strength A,3.0,,
48,2026-04-20,Tue,Gold,,WU; Dynamics; stride progression,2x200@mile (200j) + 10x300@mile (200j) + 4x200@800 (60s),Strides; Mobility/Strength A,5.5,athlete_groups.html,
48,2026-04-20,Tue,Green,,WU; Dynamics; stride progression,2x200@mile (200j) + 10x300@mile (200j) + 4x200@800 (60s),Strides; Mobility/Strength A,5.0,athlete_groups.html,
48,2026-04-20,Tue,White,,WU; Dynamics; stride progression,2x200@mile (200j) + 10x300@mile (200j) + 4x200@800 (60s),Strides; Mobility/Strength A,4.0,athlete_groups.html,
48,2026-04-20,Tue,Freshman,,WU; Dynamics; stride progression,2x200@mile (200j) + 10x300@mile (200j) + 4x200@800 (60s),Strides; Mobility/Strength A,3.5,athlete_groups.html,
48,2026-04-20,Wed,Gold,,Awesomizer; Lunge Matrix,5mi easy,Strides; Mobility A; 24s,5.0,,
48,2026-04-20,Wed,Green,,Awesomizer; Lunge Matrix,4.5mi easy,Strides; Mobility A; 24s,4.5,,
48,2026-04-20,Wed,White,,Awesomizer; Lunge Matrix,4mi easy,Strides; Mobility A; 24s,4.0,,
48,2026-04-20,Wed,Freshman,,Awesomizer; Lunge Matrix,3mi easy,Strides; Mobility A; 24s,3.0,,
48,2026-04-20,Thu,Gold,,WU; Dynamics; stride progression,3x[300@800 (2:30) - 200@800 (2:30) - 100@800 (5:00),Strides; Mobility/Strength A,5.5,athlete_groups.html,
48,2026-04-20,Thu,Green,,WU; Dynamics; stride progression,3x[300@800 (2:30) - 200@800 (2:30) - 100@800 (5:00),Strides; Mobility/Strength A,5.0,athlete_groups.html,
48,2026-04-20,Thu,White,,WU; Dynamics; stride progression,3x[300@800 (2:30) - 200@800 (2:30) - 100@800 (5:00),Strides; Mobility/Strength A,4.0,athlete_groups.html,
48,2026-04-20,Thu,Freshman,,WU; Dynamics; stride progression,3x[300@800 (2:30) - 200@800 (2:30) - 100@800 (5:00),Strides; Mobility/Strength A,3.5,athlete_groups.html,
48,2026-04-20,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,5mi easy,6xWickets; Post Race; 24s,5.0,,
48,2026-04-20,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,4.5mi easy,6xWickets; Post Race; 24s,4.5,,
48,2026-04-20,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
48,2026-04-20,Fri,Freshman,,Awesomizer; Foot Drills; Lunge Matrix,3mi easy,6xWickets; Post Race; 24s,3.0,,
48,2026-04-20,Sat,Gold,JV,WU; Dynamics; stride progression,5mi easy,Strides; Mobility/Strength A,5.0,,
48,2026-04-20,Sat,Gold,Varsity,Race Day WU,Race,Post Race,4.0,,
48,2026-04-20,Sat,Green,JV,WU; Dynamics; stride progression,4.5mi easy,Strides; Mobility/Strength A,4.5,,
48,2026-04-20,Sat,Green,Varsity,Race Day WU,Race,Post Race,4.0,,
48,2026-04-20,Sat,White,JV,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
48,2026-04-20,Sat,White,Varsity,Race Day WU,Race,Post Race,3.0,,
48,2026-04-20,Sat,Freshman,JV,WU; Dynamics; stride progression,3mi easy,Strides; Mobility/Strength A,3.0,,
48,2026-04-20,Sat,Freshman,Varsity,Race Day WU,Race,Post Race,3.0,,
48,2026-04-20,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
48,2026-04-20,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
48,2026-04-20,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
48,2026-04-20,Sun,Freshman,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
