Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
49,2026-04-27,Mon,Gold,,Foot Drills; Dynamics; Buildups,5mi easy,Strides; Mobility/Strength A,5.0,,
49,2026-04-27,Mon,Green,,Foot Drills; Dynamics; Buildups,4.5mi easy,Strides; Mobility/Strength A,4.5,,
49,2026-04-27,Mon,White,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
49,2026-04-27,Mon,Freshman,,Foot Drills; Dynamics; Buildups,3mi easy,Strides; Mobility/Strength A,3.0,,
49,2026-04-27,Tue,Gold,JV,Race Day WU,Race,Post Race,4.0,athlete_groups.html,
49,2026-04-27,Tue,Gold,Varsity,WU; Dynamics; stride progression,12x200@800 (15s),Strides; Mobility/Strength A,5.5,athlete_groups.html,
49,2026-04-27,Tue,Green,JV,Race Day WU,Race,Post Race,4.0,athlete_groups.html,
49,2026-04-27,Tue,Green,Varsity,WU; Dynamics; stride progression,12x200@800 (15s),Strides; Mobility/Strength A,5.0,athlete_groups.html,
49,2026-04-27,Tue,White,JV,Race Day WU,Race,Post Race,3.0,athlete_groups.html,
49,2026-04-27,Tue,White,Varsity,WU; Dynamics; stride progression,12x200@800 (15s),Strides; Mobility/Strength A,4.0,athlete_groups.html,
49,2026-04-27,Tue,Freshman,JV,Race Day WU,Race,Post Race,3.0,athlete_groups.html,
49,2026-04-27,Tue,Freshman,Varsity,WU; Dynamics; stride progression,12x200@800 (15s),Strides; Mobility/Strength A,3.5,athlete_groups.html,
49,2026-04-27,Wed,Gold,,Awesomizer; Lunge Matrix,5mi easy,Strides; Mobility A; 24s,5.0,,
49,2026-04-27,Wed,Green,,Awesomizer; Lunge Matrix,4.5mi easy,Strides; Mobility A; 24s,4.5,,
49,2026-04-27,Wed,White,,Awesomizer; Lunge Matrix,4mi easy,Strides; Mobility A; 24s,4.0,,
49,2026-04-27,Wed,Freshman,,Awesomizer; Lunge Matrix,3mi easy,Strides; Mobility A; 24s,3.0,,
49,2026-04-27,Thu,Gold,,Race Day WU,Race,Post Race,4.0,,
49,2026-04-27,Thu,Green,,Race Day WU,Race,Post Race,4.0,,
49,2026-04-27,Thu,White,,Race Day WU,Race,Post Race,3.0,,
49,2026-04-27,Thu,Freshman,,Race Day WU,Race,Post Race,3.0,,
49,2026-04-27,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,5mi easy,6xWickets; Post Race; 24s,5.0,Race,
49,2026-04-27,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,4.5mi easy,6xWickets; Post Race; 24s,4.5,Race,
49,2026-04-27,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,Race,
49,2026-04-27,Fri,Freshman,,Awesomizer; Foot Drills; Lunge Matrix,3mi easy,6xWickets; Post Race; 24s,3.0,Race,
49,2026-04-27,Sat,Gold,,Race Day WU,Race,Post Race,4.0,,
49,2026-04-27,Sat,Green,,Race Day WU,Race,Post Race,4.0,,
49,2026-04-27,Sat,White,,Race Day WU,Race,Post Race,3.0,,
49,2026-04-27,Sat,Freshman,,Race Day WU,Race,Post Race,3.0,,
49,2026-04-27,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
49,2026-04-27,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
49,2026-04-27,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
49,2026-04-27,Sun,Freshman,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
