Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
47,Mon,Gold,,Foot Drills; Dynamics; Buildups,5mi easy,Strides; Mobility/Strength A,5.0,,
47,Mon,Green,,Foot Drills; Dynamics; Buildups,4.5mi easy,Strides; Mobility/Strength A,4.5,,
47,Mon,White,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
47,Mon,Freshman,,Foot Drills; Dynamics; Buildups,3mi easy,Strides; Mobility/Strength A,3.0,,
47,Tue,Gold,,WU; Dynamics; stride progression,12x200@800 (30s),Strides; Mobility/Strength A,5.5,athlete_groups.html,
47,Tue,Green,,WU; Dynamics; stride progression,12x200@800 (30s),Strides; Mobility/Strength A,5.0,athlete_groups.html,
47,Tue,White,,WU; Dynamics; stride progression,12x200@800 (30s),Strides; Mobility/Strength A,4.0,athlete_groups.html,
47,Tue,Freshman,,WU; Dynamics; stride progression,12x200@800 (30s),Strides; Mobility/Strength A,3.5,athlete_groups.html,
47,Wed,Gold,JV,Awesomizer; Lunge Matrix,5mi easy,Strides; Mobility A; 24s,5.0,athlete_groups.html,
47,Wed,Gold,Varsity,WU; Dynamics; stride progression,Pre Tempo + 6x200 cut down,Mobility/Strength B,8.0,athlete_groups.html,
47,Wed,Green,JV,Awesomizer; Lunge Matrix,4.5mi easy,Strides; Mobility A; 24s,4.5,athlete_groups.html,
47,Wed,Green,Varsity,WU; Dynamics; stride progression,Pre Tempo + 6x200 cut down,Mobility/Strength B,7.0,athlete_groups.html,
47,Wed,White,JV,Awesomizer; Lunge Matrix,4mi easy,Strides; Mobility A; 24s,4.0,athlete_groups.html,
47,Wed,White,Varsity,WU; Dynamics; stride progression,Pre Tempo + 6x200 cut down,Mobility/Strength B,6.0,athlete_groups.html,
47,Wed,Freshman,JV,Awesomizer; Lunge Matrix,3mi easy,Strides; Mobility A; 24s,3.0,athlete_groups.html,
47,Wed,Freshman,Varsity,WU; Dynamics; stride progression,Pre Tempo + 6x200 cut down,Mobility/Strength B,5.0,athlete_groups.html,
47,Thu,Gold,JV,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,5.5,athlete_groups.html,
47,Thu,Gold,Varsity,WU; Dynamics; stride progression,5mi easy,Strides; Mobility/Strength A,5.0,athlete_groups.html,
47,Thu,Green,JV,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,5.0,athlete_groups.html,
47,Thu,Green,Varsity,WU; Dynamics; stride progression,4.5mi easy,Strides; Mobility/Strength A,4.5,athlete_groups.html,
47,Thu,White,JV,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,4.0,athlete_groups.html,
47,Thu,White,Varsity,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,athlete_groups.html,
47,Thu,Freshman,JV,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,3.5,athlete_groups.html,
47,Thu,Freshman,Varsity,WU; Dynamics; stride progression,3mi easy,Strides; Mobility/Strength A,3.0,athlete_groups.html,
47,Fri,Gold,JV,Awesomizer; Foot Drills; Lunge Matrix,5mi easy,6xWickets; Post Race; 24s,5.0,,
47,Fri,Gold,Varsity,Race Day WU,Race,Post Race,4.0,,
47,Fri,Green,JV,Awesomizer; Foot Drills; Lunge Matrix,4.5mi easy,6xWickets; Post Race; 24s,4.5,,
47,Fri,Green,Varsity,Race Day WU,Race,Post Race,4.0,,
47,Fri,White,JV,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
47,Fri,White,Varsity,Race Day WU,Race,Post Race,3.0,,
47,Fri,Freshman,JV,Awesomizer; Foot Drills; Lunge Matrix,3mi easy,6xWickets; Post Race; 24s,3.0,,
47,Fri,Freshman,Varsity,Race Day WU,Race,Post Race,3.0,,
47,Sat,Gold,JV,Awesomizer; Lunge Matrix,Long Run 9mi/70min - Progression,Mobility A; Strength B,9.0,,
47,Sat,Gold,Varsity,Race Day WU,Race,Post Race,4.0,,
47,Sat,Green,JV,Awesomizer; Lunge Matrix,Long Run 7.5mi/55min - Progression,Mobility A; Strength B,7.5,,
47,Sat,Green,Varsity,Race Day WU,Race,Post Race,4.0,,
47,Sat,White,JV,Awesomizer; Lunge Matrix,Long Run 6.5mi/50min - Progression,Mobility A; Strength B,6.5,,
47,Sat,White,Varsity,Race Day WU,Race,Post Race,3.0,,
47,Sat,Freshman,JV,Awesomizer; Lunge Matrix,Long Run 5.5mi/40min - Progression,Mobility A; Strength B,5.5,,
47,Sat,Freshman,Varsity,Race Day WU,Race,Post Race,3.0,,
